# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	1727
#@/user_id	Windows
a 	啊	c=3 d=0.492072 t=1308
du cha tong bao 	督查通报	c=2 d=0.0875977 t=1727
du li 	獨立	c=0 d=0.0429557 t=1727
du li shi xian 	獨立實現	c=1 d=0.481121 t=1727
du li shi xian de 	獨立實現的	c=1 d=0.496585 t=1727
du qu 	讀取	c=1 d=1 t=1583
duan 	端	c=0 d=0.0540641 t=1727
duan shi jian 	段時間	c=0 d=0.099005 t=1727
dui 	對	c=2 d=1.11545 t=1727
dui de 	對的	c=1 d=0.56836 t=1727
dui die er da lu 	堆叠而大陆	c=1 d=1.9801e-08 t=1727
dui jiao xian 	對角線	c=1 d=0.980199 t=1727
dui wo ye 	对我也	c=1 d=1.9801e-08 t=1727
dui xiang 	對象	c=2 d=0.918512 t=1727
dui xiang sheng cun qi 	对象生存期	c=1 d=1.9801e-08 t=1727
dun diao le 	炖掉了	c=1 d=1.9801e-08 t=1727
duo 	多	c=0 d=0.0537944 t=1727
duo chang ei 	多长诶	c=1 d=1.9801e-08 t=1727
duo ci 	多次	c=1 d=0.535261 t=1727
duo jia yi ceng 	多加一层	c=1 d=1.9801e-08 t=1727
duo wen jian 	多文件	c=1 d=0.540641 t=1727
duo yu de 	多餘的	c=1 d=1 t=1599
e wai 	額外	c=1 d=1 t=1525
ei 	欸	c=4 d=0.904087 t=1727
ei 	誒	c=1 d=0.546075 t=1727
en 	嗯	c=4 d=1.46842 t=1727
er 	二	c=1 d=0.873716 t=1727
er bu shi 	而不是	c=1 d=0.882497 t=1727
er qie hui 	而且會	c=0 d=0.0366045 t=1727
er qie hui bao liu ta 	而且會保留它	c=1 d=0.367879 t=1727
fa bu 	發佈	c=1 d=1 t=1592
fa lv da quan 	法律大全	c=2 d=0.181772 t=1727
fan han shu 	反函數	c=1 d=0.951229 t=1727
fan wei 	範圍	c=1 d=0.516851 t=1727
fan yi 	翻譯	c=2 d=1.99501 t=1410
fan zheng 	反正	c=1 d=0.554327 t=1727
fang 	仿	c=1 d=0.951229 t=1727
fang 	方	c=1 d=1 t=1138
fang an 	方案	c=0 d=0.0597501 t=1727
fang cheng 	方程	c=1 d=0.860708 t=1727
fang cheng shi 	方程式	c=0 d=0.1 t=1280
fang da 	放大	c=1 d=1 t=1579
fang diao 	放掉	c=0 d=0.0559898 t=1727
fang diao zhe bian 	放掉這邊	c=1 d=0.562705 t=1727
fang fa 	方法	c=4 d=1.03037 t=1727
fang jia le 	放假了	c=1 d=0.364219 t=1727
fang le 	放了	c=1 d=0.366044 t=1727
fang wen 	訪問	c=2 d=0.574355 t=1727
fang xiang 	方向	c=2 d=0.331745 t=1727
fang yu li 	防禦力	c=1 d=1 t=1721
fang zheng 	方正	c=1 d=0.189191 t=1727
fang zheng xing kai 	方正行楷	c=1 d=1.9801e-08 t=1727
fei 	非	c=1 d=0.878095 t=1727
fei xie er 	菲谢尔	c=1 d=1.9801e-08 t=1727
fei xie er 	费歇尔	c=1 d=1.9801e-08 t=1727
fen 	分	c=3 d=1.09019 t=1727
fen duan 	分段	c=2 d=1.99005 t=1265
fen ge 	分割	c=1 d=0.609571 t=1727
fen ge xian 	分割線	c=2 d=1.99501 t=1255
fen hao 	分號	c=1 d=0.331211 t=1727
fen ju 	分局	c=0 d=0.0366375 t=1727
fen ju jian jie 	分局簡介	c=1 d=0.179964 t=1727
fen ju wen jian 	分局文件	c=2 d=0.0867261 t=1727
fen pei de a 	分配的啊	c=1 d=1.9801e-08 t=1727
fen ping 	分屏	c=1 d=0.594521 t=1727
fen zhi 	分支	c=1 d=0.99005 t=1727
fen zhong 	分鐘	c=1 d=0.798516 t=1727
feng bao 	風暴	c=1 d=0.694196 t=1727
feng chui cao di xian niu yang 	风吹草低见牛羊	c=1 d=1.9801e-08 t=1727
feng ge ding 	封个顶	c=1 d=1.9801e-08 t=1727
feng yi yan 	馮毅言	c=1 d=1 t=1116
fu 	副	c=0 d=0.1 t=1105
fu 	符	c=1 d=1 t=1274
fu dong le 	浮动了	c=1 d=1.9801e-08 t=1727
fu hao 	符號	c=1 d=1.03214 t=1303
fu jia 	附加	c=1 d=0.425283 t=1727
fu jiao 	幅角	c=1 d=1 t=1287
fu li lian 	芙莉蓮	c=1 d=0.278038 t=1727
fu shu 	複數	c=5 d=0.340859 t=1727
fu shu bu fen 	複數部分	c=1 d=1 t=1135
fu shu de 	複數的	c=6 d=0.985112 t=1727
fu shu gen 	複數根	c=2 d=1.95064 t=1727
fu wu qi 	服務器	c=1 d=0.980199 t=1727
fu zhi 	賦值	c=0 d=0.1 t=1293
fu zhi ban zhang 	副值班長	c=1 d=1 t=1106
fu zi 	夫子	c=0 d=0.0946485 t=1727
gai 	改	c=3 d=2.60453 t=1727
gai 	該	c=2 d=1.09863 t=1727
gai shan 	改善	c=1 d=0.847894 t=1727
gan en jie 	感恩節	c=1 d=0.927743 t=1727
gan jue bu que ding 	感觉不确定	c=1 d=1.9801e-08 t=1727
gang 	剛	c=0 d=0.083527 t=1727
gang chuang jian 	刚创建	c=1 d=1.9801e-08 t=1727
gang ji ge 	剛及格	c=1 d=0.839457 t=1727
gang wei 	崗位	c=1 d=1 t=1112
gao 	高	c=2 d=0.715338 t=1727
gao du 	高度	c=2 d=0.62397 t=1727
gao gen xie 	高跟鞋	c=1 d=1 t=1681
gao liang 	高亮	c=0 d=0.056836 t=1727
gao zhong 	高中	c=0 d=0.1 t=1132
gao zhong shu xue 	高中數學	c=1 d=1 t=1133
ge 	個	c=1 d=0.629101 t=1695
ge 	格	c=1 d=0.615697 t=1727
ge 	隔	c=1 d=1 t=1256
ge dong hua 	個動畫	c=1 d=1 t=1486
ge ge 	哥哥	c=1 d=1 t=1127
ge shi 	格式	c=2 d=0.460746 t=1727
ge shi hua 	格式化	c=2 d=0.923116 t=1727
ge zhong 	各種	c=1 d=1 t=1710
ge zhong ban ben 	各种版本	c=1 d=1.9801e-08 t=1727
gei 	給	c=2 d=0.344727 t=1727
gei han shu 	给函数	c=1 d=1.9801e-08 t=1727
gen 	根	c=2 d=0.202493 t=1727
gen hao 	根號	c=1 d=0.941765 t=1727
gen jie kou 	跟接口	c=1 d=1.9801e-08 t=1727
geng duo 	更多	c=5 d=4.29307 t=1403
geng gai 	更改	c=1 d=0.640824 t=1727
geng hao 	更好	c=1 d=0.67368 t=1727
geng huai 	更壞	c=0 d=0.065377 t=1727
geng huai de 	更壞的	c=1 d=0.657047 t=1727
geng qin jin 	更亲近	c=1 d=1.9801e-08 t=1727
geng xin 	更新	c=1 d=0.327915 t=1727
gong an ju 	公安局	c=1 d=0.187308 t=1727
gong gao 	公告	c=0 d=0.1 t=1232
gong ju 	工具	c=1 d=0.205975 t=1727
gong neng 	功能	c=5 d=1.16118 t=1727
gong neng jian 	功能鍵	c=1 d=1 t=1228
